,SRMSE 1,SRMSE 2,SRMSE 3,SRMSE 4,MACD_C,Diversity,Runtime
IPU,0.0021,0.0214,0.071,0.1944,0.025,0.0,424.8639
SBIPF-GB,0.0509,0.1318,0.2775,0.5607,0.028,0.0,21.3141
NBIPF-GB,0.4153,1.0108,2.0376,3.8932,0.054,0.0,6.0309
SBIPF-RP,0.0328,0.0897,0.1964,0.4132,0.027,0.0,17.7768
NBIPF-RP,0.5704,1.4063,2.8197,5.3485,0.069,0.0,2.6998
BN,0.4243,1.1224,2.6137,5.787,0.14,0.9635,16.2612
BN Copula,0.0034,0.3121,1.1812,3.3162,0.129,0.9998,184.6667
IPU BN,0.0079,0.0683,0.2458,0.7107,0.145,0.9824,488.4261
SBIPF-GB BN,0.0502,0.1623,0.4317,1.0662,0.151,0.9846,85.9739
NBIPF-GB BN,0.4147,1.169,2.7967,6.3117,0.146,0.9633,71.8623
SBIPF-RP BN,0.0328,0.1291,0.3748,0.9777,0.144,0.9848,80.6428
NBIPF-RP BN,0.5535,1.5621,3.6616,8.1001,0.152,0.9588,64.3448
